Sample,Cruise,HLIIReplication,HLIIsd,Latitude,Year,Month,Day,Local_Hour,Local_Minute,AdjustedHour,Noon-to-Noon,Total Day
I07004,I07N,0.03879307,0.001694079,-29.9968,2018,4,25,12,0,11.69891074,0,1
I07006,I07N,0.25198436,0.001795807,-30.0118,2018,4,25,16,0,15.80789074,1,1
I07010,I07N,0.242743075,0.001589946,-29.9998,2018,4,25,20,0,19.87238407,1,1
I07014,I07N,0.057743436,0.001808458,-29.9997,2018,4,26,0,0,23.94483065,1,2
I07018,I07N,0.046752375,0.001795065,-29.9998,2018,4,26,4,0,4.008290652,1,2
I07022,I07N,0.073242876,0.001878858,-30.0003,2018,4,26,8,0,8.068230652,1,2
I07026,I07N,0.051014968,0.001831429,-29.9999,2018,4,26,12,0,12.12814399,2,2
I07029,I07N,0.456625633,0.001836396,-29.9999,2018,4,26,16,0,16.19290399,2,2
I07033,I07N,0.217013264,0.002607023,-29.9998,2018,4,26,19,0,19.25543065,2,2
I07039,I07N,0.133729326,0.00167188,-30.0007,2018,4,27,0,0,24.32057308,2,3
I07040,I07N,0.082528307,0.00178816,-30.0002,2018,4,27,4,0,4.371553076,2,3
I07048,I07N,0.067544087,0.002158816,-30.0012,2018,4,27,12,0,12.45143974,3,3
I07051,I07N,0.131907162,0.001775743,-29.9996,2018,4,27,16,0,16.49281974,3,3
I07063,I07N,0.039010175,0.00195072,-29.9998,2018,4,28,4,0,3.67346234,3,4
I07067,I07N,0.08009438,0.0018935,-29.9034,2018,4,28,8,0,7.673449007,3,4
I07070,I07N,0.085625873,0.002107598,-29.4962,2018,4,28,12,0,11.67340901,3,4
I07072,I07N,0.121402323,0.00138635,-29.4989,2018,4,28,16,0,15.67860901,4,4
I07076,I07N,0.276502577,0.00171429,-28.9572,2018,4,28,20,0,19.67340234,4,4
I07084,I07N,0.053938453,0.002127256,-28.4941,2018,4,29,4,0,3.675876316,4,5
I07088,I07N,0.026305727,0.002113243,-28.3245,2018,4,29,8,0,7.675702983,4,5
I07092,I07N,0.05950413,0.002087454,-27.9928,2018,4,29,12,0,11.67570965,4,5
I07095,I07N,0.105583933,0.001620962,-27.9528,2018,4,29,16,0,15.67570298,5,5
I07099,I07N,0.230175837,0.001743165,-27.6598,2018,4,29,20,0,19.67558965,5,5
I07102,I07N,0.091806619,0.001751676,-27.4168,2018,4,29,0,0,23.67524965,5,5
I07106,I07N,0.040245556,0.002047095,-27.3308,2018,4,30,4,0,3.677319746,5,6
I07110,I07N,0.040487124,0.002170669,-27.0003,2018,4,30,8,0,7.677433079,5,6
I07114,I07N,0.040783544,0.002019484,-26.7799,2018,4,30,12,0,11.67755975,5,6
I07117,I07N,0.191887379,0.001626083,-26.6692,2018,4,30,16,0,15.67758641,6,6
I07121,I07N,0.31684689,0.001748464,-26.3266,2018,4,30,20,0,19.67854641,6,6
I07125,I07N,0.102430577,0.001249476,-26.0627,2018,5,1,0,0,23.68065091,6,7
I07132,I07N,0.142075754,0.001968677,-25.6592,2018,5,1,8,0,7.680790912,6,7
I07135,I07N,0.055836333,0.001682548,-25.5816,2018,5,1,12,0,11.68082425,6,7
I07142,I07N,0.315881675,0.002261253,-24.9958,2018,5,1,20,0,19.68053758,7,7
I07146,I07N,0.157222464,0.001536088,-24.9473,2018,5,2,0,0,23.6833883,7,8
I07150,I07N,0.040943642,0.001693148,-24.6612,2018,5,2,4,0,3.682741638,7,8
I07154,I07N,0.070799094,0.001864908,-24.3338,2018,5,2,8,0,7.683868305,7,8
I07158,I07N,0.050571069,0.00155276,-24.0535,2018,5,2,12,0,11.68337497,7,8
I07165,I07N,0.389593165,0.001910778,-23.6558,2018,5,2,20,0,19.68363497,8,8
I07169,I07N,0.107538402,0.00191686,-23.3326,2018,5,3,0,0,23.68470395,8,9
I07173,I07N,0.031996765,0.002035542,-22.9933,2018,5,3,4,0,3.684710621,8,9
I07177,I07N,0.087737593,0.001835319,-22.9166,2018,5,3,8,0,7.684690621,8,9
I07181,I07N,0.05435338,0.001586865,-22.4947,2018,5,3,12,0,11.68453729,8,9
I07184,I07N,0.095628832,0.001720664,-22.0147,2018,5,3,16,0,15.68486395,9,9
I07188,I07N,0.311995934,0.001675583,-21.9951,2018,5,3,20,0,19.68581729,9,9
I07192,I07N,0.104019884,0.002248562,-21.4986,2018,5,4,0,0,23.6740301,9,10
I07196,I07N,0.081697734,0.001535524,-21.205,2018,5,4,4,0,3.681570101,9,10
I07200,I07N,0.107246513,0.001811764,-21.001,2018,5,4,8,0,7.686836767,9,10
I07203,I07N,0.108990262,0.001613144,-20.5022,2018,5,4,12,0,11.68735677,9,10
I07205,I07N,0.073753513,0.00178767,-20.3369,2018,5,4,16,0,15.68690343,10,10
I07209,I07N,0.361868103,0.001721435,-19.9971,2018,5,4,20,0,19.6860101,10,10
I07213,I07N,0.105807488,0.001639801,-19.6282,2018,5,5,0,0,23.69598586,10,11
I07217,I07N,0.112027017,0.002004014,-19.4888,2018,5,5,4,0,3.699225859,10,11
I07225,I07N,0.085537591,0.001456092,-18.8598,2018,5,5,12,0,11.71281253,10,11
I07228,I07N,0.0510987,0.0018646,-18.5029,2018,5,5,16,0,15.72047919,11,11
I07232,I07N,0.376649164,0.001744774,-18.1222,2018,5,5,20,0,19.72108586,11,11
I07236,I07N,0.13070283,0.002337743,-18.0187,2018,5,6,0,0,23.72296389,11,12
I07244,I07N,0.053077735,0.001527595,-17.3325,2018,5,6,8,0,7.722370554,11,12
I07248,I07N,0.039274713,0.001591653,-16.7954,2018,5,6,12,0,11.72251722,11,12
I07251,I07N,0.125459166,0.00200153,-16.4186,2018,5,6,16,0,15.72240389,12,12
I07255,I07N,0.271295174,0.001499757,-16.2271,2018,5,6,20,0,19.72241722,12,12
I07259,I07N,0.08516343,0.00191786,-15.6515,2018,5,7,0,0,23.72389038,12,13
I07263,I07N,0.060729345,0.002236611,-15.5602,2018,5,7,4,0,3.723890383,12,13
I07267,I07N,0.03760401,0.002242715,-15.091,2018,5,7,8,0,7.72389705,12,13
